Country,Happiness Score 2015,Happiness Score 2016,Happiness Score 2017,Happiness Score 2018,HDI 2015,HDI 2016,HDI 2017,HDI 2018
Afghanistan,3.575,3.36,3.79399991,3.632,0.5,0.502,0.506,0.509
Albania,4.959,4.655,4.644000053,4.586,0.788,0.788,0.79,0.792
Algeria,5.605,6.355,5.872000217,5.295,0.74,0.743,0.745,0.746
Angola,4.033,3.866,3.795000076,3.795,0.572,0.578,0.582,0.582
Argentina,6.574,6.65,6.598999977,6.388,0.84,0.839,0.843,0.842
Armenia,4.35,4.36,4.375999928,4.321,0.768,0.766,0.769,0.771
Australia,7.284,7.313,7.28399992,7.272,0.938,0.939,0.941,0.943
Austria,7.2,7.119,7.006000042,7.139,0.915,0.917,0.919,0.921
Azerbaijan,5.212,5.291,5.234000206,5.201,0.744,0.751,0.754,0.754
Bahrain,5.96,6.218,6.086999893,6.105,0.848,0.853,0.854,0.852
Bangladesh,4.694,4.643,4.607999802,4.5,0.595,0.606,0.616,0.625
Belarus,5.813,5.802,5.568999767,5.483,0.814,0.815,0.819,0.823
Belgium,6.937,6.929,6.890999794,6.927,0.922,0.924,0.929,0.93
Benin,3.34,3.484,3.657000065,4.141,0.532,0.533,0.536,0.541
Bhutan,5.253,5.196,5.011000156,5.082,0.628,0.637,0.646,0.649
Bolivia,5.89,5.822,5.822999954,5.752,0.697,0.702,0.71,0.714
Bosnia and Herzegovina,4.949,5.163,5.18200016,5.129,0.761,0.772,0.774,0.777
Botswana,4.332,3.974,3.766000032,3.59,0.717,0.72,0.726,0.73
Brazil,6.983,6.952,6.635000229,6.419,0.756,0.758,0.761,0.762
Bulgaria,4.218,4.217,4.714000225,4.933,0.809,0.811,0.811,0.813
Burkina Faso,3.587,3.739,4.032000065,4.424,0.422,0.428,0.439,0.443
Burundi,2.905,2.905,2.904999971,2.905,0.437,0.438,0.434,0.431
Cambodia,3.819,3.907,4.168000221,4.433,0.57,0.576,0.582,0.585
Cameroon,4.252,4.513,4.695000172,4.975,0.549,0.553,0.557,0.56
Canada,7.427,7.404,7.315999985,7.328,0.921,0.923,0.926,0.928
Chad,3.667,3.763,3.936000109,4.301,0.398,0.393,0.396,0.397
Chile,6.67,6.705,6.65199995,6.476,0.842,0.845,0.847,0.849
China,5.14,5.245,5.272999763,5.246,0.739,0.746,0.75,0.755
Colombia,6.477,6.481,6.356999874,6.26,0.756,0.76,0.763,0.764
Congo (Brazzaville),3.989,4.236,4.290999889,4.559,0.58,0.578,0.574,0.573
Congo (Kinshasa),4.517,4.272,4.28000021,4.245,0.464,0.471,0.475,0.478
Costa Rica,7.226,7.087,7.078999996,7.072,0.797,0.801,0.804,0.808
Croatia,5.759,5.488,5.293000221,5.321,0.84,0.841,0.845,0.848
Cyprus,5.689,5.546,5.620999813,5.762,0.865,0.873,0.878,0.885
Czech Republic,6.505,6.596,6.609000206,6.711,0.891,0.893,0.896,0.898
Denmark,7.527,7.526,7.521999836,7.555,0.933,0.935,0.936,0.939
Dominican Republic,4.885,5.155,5.230000019,5.302,0.738,0.743,0.746,0.751
Ecuador,5.975,5.976,6.007999897,5.973,0.764,0.758,0.76,0.762
Egypt,4.194,4.362,4.735000134,4.419,0.691,0.696,0.698,0.701
El Salvador,6.13,6.068,6.002999783,6.167,0.668,0.671,0.671,0.67
Estonia,5.429,5.517,5.611000061,5.739,0.877,0.881,0.885,0.889
Ethiopia,4.512,4.508,4.460000038,4.35,0.462,0.467,0.474,0.478
Finland,7.406,7.413,7.468999863,7.632,0.93,0.932,0.935,0.937
France,6.575,6.478,6.441999912,6.489,0.895,0.894,0.897,0.898
Gabon,3.896,4.121,4.465000153,4.758,0.685,0.69,0.694,0.697
